AWS to GCP Cloud Migration Simulator for Google Demo Customer
,
Applied Filters
AWS Instance Match Filter,All Matched AWS Instances
,
Card Settings
GCP Location,United States
Storage Type,Zonal
Storage Media,Optimal
Instance CPU,Intel Based
Match to standard instances only,No
Exclude E2 instances,Yes
Include Sole Tenant Nodes,Yes
Allow Oversubscription,Yes
BYO Microsoft Licenses,Yes
Exclude Live Migration Nodes,No
Allow Desktop OS/MSDN,No
Term Length,1 Year
Instance Class,Regular
BYO Linux Licenses,No
,
Rightsizing Criteria
Rightsize AWS Instances using,AWS Instance as Configured
,
Table Data
AWS Instance Name,Tags,AWS Instance State,AWS Instance,AWS Instance OS,GCP Instance Cost / Year ($),Instance Cost Portion ($),Sole Tenant Node Cost Portion ($),GPU Cost Portion ($),OS Cost Portion ($),Storage Cost Portion ($),GCP Instance,GCP Instance vCPU,GCP Instance vRAM (GB),Sole Tenant Node,GCP GPU,Storage Media,vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),Peak Reads,Peak Writes,vDisk Capacity (GB)
i-9cd04a7aa56fbfb6e,Canditate;gcp-candidate;production,Powered On,m4.large,,699,536,0,0,0,163,n2-standard-2,2,8.00,,0,SSD,2,14,8,8,8.00,,,80.00
i-9d00f916c9d854b70,Canditate;gcp-candidate;pa,Powered On,t2.large,,552,536,0,0,0,16,n2-standard-2,2,8.00,,0,SSD,2,2,0,0,8.00,,,8.00
i-99c66ed746f9c94f1,Canditate;gcp-candidate;pa,Powered On,t2.large,,552,536,0,0,0,16,n2-standard-2,2,8.00,,0,SSD,2,2,0,0,8.00,,,8.00
i-9761de2596b00348e,Canditate;gcp-candidate;pa;production,Powered On,r4.xlarge,,1711,1411,0,0,0,300,n2-custom,4,30.50,,0,SSD,4,46,44,43,30.50,,,147.00
i-9a3b7f01bbb3b7082,Canditate;gcp-candidate;pa;production,Powered On,r4.xlarge,,1711,1411,0,0,0,300,n2-custom,4,30.50,,0,SSD,4,4,1,1,30.50,,,100.00
i-beacd09e,Canditate;gcp-candidate;pa,Powered On,m3.medium,,433,262,0,0,0,171,n1-standard-1,1,3.75,,0,SSD,1,14,9,7,3.75,,,84.00
i-930b94ff,Canditate;gcp-candidate;pa,Powered On,m3.medium,,433,262,0,0,0,171,n1-standard-1,1,3.75,,0,SSD,1,15,8,7,3.75,,,84.00
i-deb71a70,Canditate;gcp-candidate;pa,Powered On,m3.medium,,433,262,0,0,0,171,n1-standard-1,1,3.75,,0,SSD,1,13,7,7,3.75,,,84.00
i-9c41f5a4a4991a482,Canditate;gcp-candidate;pa,Powered On,m3.medium,,311,262,0,0,0,49,n1-standard-1,1,3.75,,0,SSD,1,36,9,6,3.75,,,24.00
i-52be19a7,Canditate;gcp-candidate;pa,Powered On,m1.xlarge,,5496,1049,0,0,0,4447,n1-standard-4,4,15.00,,0,SSD,4,61,47,32,15.00,,,2180.00
