Cost Comparison of On-Prem IT vs. Public Cloud for Google Demo Customer
,
Applied Filters
None
,
Additional Settings
Public Clouds Included,GCVE
Compare On-Prem IT as Configured to GCVE including only powered on VMs with rightsizing,No
,
On-Prem IT Cloud Simulator Settings
Physical Host System Cost,"$8,000"
Hardware/ Software Depreciation Term,5 years
Shared Storage Cost/ GB,$6.00
Average Host RAM Cost/ GB,$24.00
vSphere Support,Production
Hypervisor/ELA Discount,15%
Annual License Cost/ VM,$350
Annual License Cost/ Host,"$12,000"
Environmental Costs Excluded,No
Average Watts/ Host,"430"
Cost/ kWh Electricity,$0.105
Cooling to Power Ratio,"1.8"
,
Google Cloud VMware Engine Simulator Settings
Maximum CPU Oversubscription,Optimal - Hosts by CPU Demand
Dedupe / Compression Ratio,3:1
Storage Faults To Tolerate (FTT) / RAID,FTT 1 (Raid 1)
Allow VMware Horizon,Yes
GCP Location,Los Angeles (us-west2)
Term Length,3 Years
Secondary Storage Type,Google Cloud Storage
Secondary Storage Size (GB),"1,024 GB"
,
Rightsizing Criteria
Instance Rightsizing,
Rightsize VMs using,99th %-ile vCPU and Peak vRAM Usage
Additional vCPU Headroom,0%
Do not resize below CPU and Memory reservations,No
,
Cluster Rightsizing,
Additional vCPU Headroom,Current vCPU Peak Demand
Additional vRAM Headroom,Current vRAM Peak Usage
Additional Storage Headroom,Current Storage Configured
,
Other Rightsizing,
Rightsize VMs using,99th %-ile vCPU and Peak vRAM Usage
Do not resize below CPU and Memory reservations,No
Extra vCPU Headroom,0%
Extra vRAM Headroom,0%
Extra Storage (GB),"0"
,
Summary Table Data,
Cloud,Total VMs,Supported VMs,Cost of On Prem-IT Portion as Configured,Average Cost /VM for On Prem-IT Portion as Configured,Cost of Public Cloud Portion as Configured,Average Cost /VM for Public Cloud Portion as Configured,Total Cost as Configured,Overall Average Cost /VM as Configured,Cost of On Prem-IT Portion Rightsized,Average Cost /VM for On Prem-IT Portion Rightsized,Cost of Public Cloud Portion Rightsized,Average Cost /VM for Public Cloud Portion Rightsized,Total Cost Rightsized,Overall Average Cost /VM Rightsized
On-Prem IT,629,629,1117796,1777,0,0,1117796,1777,1114265,1771,0,0,1114265,1771
GCVE,629,629,0,0,948990,1508,948990,1508,0,0,948990,1508,948990,1508
,
Table Data
VM Name,Tags,VM State,Guest OS,On-Prem IT VM Cost /Year ($),On-Prem IT Adjusted Consumed VM Cost / Year ($),On-Prem IT VM Cost /Year As Configured ($),On-Prem IT VM Cost /Year Rightsized ($),Google Cloud VMware Engine As Configured ($),Google Cloud VMware Engine Rightsized ($),vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-40218,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1446,1446,1446,1446,Supported,Supported,4,,,,8.00,,,,,,210.00,demo.google.com,Cluster-c473761
VM-3296304,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1246,1246,1246,1246,Supported,Supported,2,100,69,47,16.00,100,1709,1536,1311,1235,150.00,demo.google.com,Cluster-c473761
VM-123072,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2106,2106,2106,2106,Supported,Supported,4,,,,16.00,,,,,,400.00,demo.google.com,Cluster-c473761
VM-404209,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),881,881,881,881,Supported,Supported,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-2164273,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1388,1388,1388,1388,Supported,Supported,2,,,,4.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-913604,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1075,1075,1075,1075,Supported,Supported,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-62889,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1413,1413,1413,1413,Supported,Supported,4,,,,8.00,,,,,,200.00,demo.google.com,Cluster-c473761
VM-1791440,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),939,939,939,939,Supported,Supported,8,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c344303
VM-2859238,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),3705,3705,3705,3705,Supported,Supported,2,,,,28.00,,,,,,870.00,demo.google.com,Cluster-c344303
VM-444328,PoweredOn,Powered On,Other 2.6.x Linux (64-bit),1972,1963,1972,1963,Supported,Supported,2,71,32,9,4.00,97,449,413,73,12131,373.00,demo.google.com,Cluster-c473761
VM-3296854,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),1966,1966,1966,1966,Supported,Supported,1,100,38,5,3.00,99,1996,1533,560,1175,374.52,demo.google.com,Cluster-c473761
VM-1912506_replica,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2444,2444,2444,2444,Supported,Supported,2,,,,8.00,,,,,,510.00,demo.google.com,Cluster-c472963
VM-1229113,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1416,1416,1416,1416,Supported,Supported,4,,,,8.00,,,,,,201.00,demo.google.com,Cluster-c473761
VM-1726022,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),871,871,871,871,Supported,Supported,8,,,,8.00,,,,,,30.00,demo.google.com,Cluster-c344303
VM-3300543,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),743,742,743,742,Supported,Supported,1,38,7,4,3.00,82,47,45,4,310,12.50,demo.google.com,Cluster-c473761
VM-1912536,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1835,1802,1835,1802,Supported,Supported,6,100,21,9,8.00,100,2899,2898,2056,3275,320.00,demo.google.com,Cluster-c473761
VM-122381,Hadoop;PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2003 Standard (32-bit),794,769,794,769,Supported,Supported,4,100,6,2,3.00,97,475,471,24,1440,20.00,demo.google.com,Cluster-c473761
VM-1817265,PoweredOn,Powered Off,FreeBSD (64-bit),775,775,775,775,Supported,Supported,2,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c862031
VM-122301,Hadoop;PoweredOn,Powered On,CentOS 4/5/6/7 (64-bit),14633,14609,14633,14609,Supported,Supported,4,33,4,1,4.00,100,666,660,265,4408,4116.00,demo.google.com,Cluster-c473761
VM-1454238,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),767,767,767,767,Supported,Supported,1,,,,2.00,,,,,,20.00,demo.google.com,Cluster-c473761
VM-3111843,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2451,2451,2451,2451,Supported,Supported,2,,,,8.00,,,,,,512.00,demo.google.com,Cluster-c473761
VM-3232119,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1300,1300,1300,1300,Supported,Supported,12,,,,56.00,,,,,,115.00,demo.google.com,Cluster-c473761
VM-1455665,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),3353,3353,3353,3353,Supported,Supported,10,,,,96.00,,,,,,701.00,demo.google.com,Cluster-c473761
VM-1495799,PoweredOn;windows_power_on,Powered On,Microsoft Windows Server 2012 (64-bit),2092,2084,2092,2084,Supported,Supported,4,90,56,37,8.00,100,926,508,811,1093,401.00,demo.google.com,Cluster-c473761
VM-3214649,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),906,906,906,906,Supported,Supported,4,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-113493,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1835,1835,1835,1835,Supported,Supported,4,,,,8.00,,,,,,325.00,demo.google.com,Cluster-c472963
