GCP Cloud Simulator for Google Demo Customer
,
Applied Filters
vCenter,demo.google.com
Datacenter,Datacenter-2
VM Match Filter,All Matched VMs
,
Card Settings
GCP Location,Iowa (us-central1)
Storage Type,Zonal
Storage Media,Optimal
Instance CPU,Intel Based
Match to standard instances only,No
Exclude E2 instances,No
Consider GPUs when,GPUs Already in Place
Match to GPUs providing,Best Performance
Include Sole Tenant Nodes,Yes
Allow Oversubscription,Yes
BYO Microsoft Licenses,Yes
Exclude Live Migration Nodes,No
Allow Desktop OS/MSDN,No
Term Length,3 Years
Instance Class,Regular
BYO Linux Licenses,Yes
,
Rightsizing Criteria
Rightsize VMs using,VM as Configured
,
Table Data
VM Name,Tags,VM State,Guest OS,VM Cost / Year ($),Instance Cost Portion ($),Sole Tenant Node Cost Portion ($),GPU Cost Portion ($),OS Cost Portion ($),Storage Cost Portion ($),Instance,Instance vCPU,Instance vRAM (GB),Sole Tenant Node,GCP GPU,Storage Media,vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-40218,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),537,436,0,0,0,101,e2-custom,4,8.00,,0,HDD,4,,,,8.00,,,,,,210.00,demo.google.com,Cluster-c473761
VM-3296304,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1011,0,705,0,0,306,n1-custom,2,16.00," Node #1",0,SSD,2,100,69,47,16.00,100,1709,1536,1311,1235,150.00,demo.google.com,Cluster-c473761
VM-123072,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1124,0,932,0,0,192,n1-custom,4,16.00," Node #12",0,HDD,4,,,,16.00,,,,,,400.00,demo.google.com,Cluster-c473761
VM-404209,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),242,218,0,0,0,24,e2-custom,2,4.00,,0,HDD,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-2164273,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),443,0,347,0,0,96,n1-custom,2,4.00," Node #12",0,HDD,2,,,,4.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-913604,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),741,0,693,0,0,48,n1-custom,4,8.00," Node #1",0,HDD,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-62889,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),789,0,693,0,0,96,n1-custom,4,8.00," Node #2",0,HDD,4,,,,8.00,,,,,,200.00,demo.google.com,Cluster-c473761
VM-1791440,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1172,0,1148,0,0,24,n1-custom,8,8.00," Node #3",0,HDD,8,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c344303
VM-2859238,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1481,0,1063,0,0,418,n1-custom,2,28.00," Node #10",0,HDD,2,,,,28.00,,,,,,870.00,demo.google.com,Cluster-c344303
VM-444328,PoweredOn,Powered On,Other 2.6.x Linux (64-bit),893,132,0,0,0,761,e2-medium,1,4.00,,0,SSD,2,71,32,9,4.00,97,449,413,73,12131,373.00,demo.google.com,Cluster-c473761
