Google Cloud VMware Engine Simulator for Google Demo Customer
,
Applied Filters
vCenter,demo.google.com
Datacenter,Datacenter-2
VM Support Filter,All Supported VMs
,
Card Settings
Maximum CPU Oversubscription,Optimal - Hosts by CPU Demand
Dedupe / Compression Ratio,3:1
Storage Faults To Tolerate (FTT) / RAID,FTT 1 (Raid 1)
Allow VMware Horizon,Yes
GCP Location,Los Angeles (us-west2)
Term Length,3 Years
Secondary Storage Type,Google Cloud Storage
Secondary Storage Size (GB),"1,024 GB"
,
Rightsizing Criteria
Additional vCPU Headroom,Current vCPU Peak Demand
Additional vRAM Headroom,Current vRAM Peak Usage
Additional vSAN Storage Headroom,Current vSAN Storage Configured
,
Annual GCVE Cost,$948990
,
Cloud Environment Recommendation
Hosts,"19"
Host Type,ve1-standard-72
Host Placement,
Cluster #1,16 Hosts
Cluster #2,3 Hosts
,
Table Data
VM Name,Tags,VM State,Guest OS,vCPU,Cores per Socket,vCPU Peak Demand (GHz),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vDisk Used (GB),Additional Storage (GB),Snapshots,Datastores,Networks,GCP Cluster,GCP VPC,vCenter Name,Cluster Name
VM-101431,PoweredOn,Powered Off,Other Linux (32-bit),1,1,,0.13,,,,,,1.00,0.84,,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1036344,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),4,4,,8.00,,,,,,100.00,99.82,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1043050,PoweredOn,Powered Off,Other Linux (32-bit),1,1,,0.13,,,,,,1.00,0.85,,0,1,4,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1043082,PoweredOn;PowerOn/Win2008R2,Powered On,Microsoft Windows Server 2008 R2 (64-bit),8,2,21.43,26.00,100,2263,2085,1156,2661,570.00,529.63,0.00,0,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1053694,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,18.00,,,,,,501.00,412.95,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1053699,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,12.00,,,,,,100.00,60.47,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1053701,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,4.00,,,,,,1600.00,1549.15,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1053702,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),2,2,,12.00,,,,,,150.00,142.61,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
VM-1074962,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),4,2,,8.00,,,,,,65.00,47.57,,0,1,2,Cluster #1,VPC #1,demo.google.com,Cluster-c472963
VM-1084859,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),8,4,19.87,32.00,100,6785,6772,361,1137,290.00,316.90,0.00,1,1,3,Cluster #1,VPC #1,demo.google.com,Cluster-c473761
