Guest OS Analysis for Google Demo Customer
,
Applied Filters
None
,
Table Data
VM Name,Tags,Severity,VM State,Guest OS,End of Support,32/64 bits,vCPU,vRAM (GB),Tools Installed
VM-101431,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1036344,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-1043050,PoweredOn,Normal,Powered Off,Other Linux,,32-bit,1,0.13,Installed
VM-1043082,PoweredOn;PowerOn/Win2008R2,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,8,26.00,Installed
VM-1053694,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,18.00,Installed
VM-1053699,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,12.00,Installed
VM-1053701,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,4.00,Installed
VM-1053702,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,2,12.00,Installed
VM-1074962,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,4,8.00,Installed
VM-1084859,PoweredOn;PowerOn/Win2008R2;windows_power_on,Need Attention,Powered On,Windows Server 2008 R2,14 Jan 2020,64-bit,8,32.00,Installed
VM-109678,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
VM-1106428,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,8.00,Installed
VM-112147,PoweredOn,Normal,Powered Off,Windows Server 2012,10 Jan 2023,64-bit,12,30.00,Installed
VM-1131228,PoweredOn,Normal,Powered Off,Red Hat Enterprise Linux 6,30 Nov 2023,64-bit,1,2.00,Installed
VM-113466,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,16.00,Installed
VM-113488,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,2.00,Installed
VM-113491,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,8,32.00,Installed
VM-113492,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,1,4.00,Installed
VM-113493,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,4,8.00,Installed
VM-113501,PoweredOn,Need Attention,Powered Off,Windows Server 2008 R2,14 Jan 2020,64-bit,2,8.00,Installed
