Host License Inventory for Google Demo Customer
,
Applied Filters
vCenter,demo.google.com
Datacenter,Datacenter-2
License Edition,VMware vSphere Enterprise Plus
,
Table Data
Host Name,Tags,Severity,ESXi Version,License Edition,License Version,License Expiration,Licenses Used,CPUs,CPU Cores,Installed Memory (GB),VMs,vCenter Name,Cluster Name
Host-1033600,eol;eol-vm;esxi6.5incompat;testxyz,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,8,287.96,45,demo.google.com,Cluster-c862031
Host-1042856,eol;lenovo,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,4,4,32,511.97,28,demo.google.com,Cluster-c472963
Host-1180936,eol;esxi6.5incompat,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,44,383.89,45,demo.google.com,Cluster-c473761
Host-1242241,eol;esxi6.5incompat;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,12,191.99,61,demo.google.com,Cluster-c344303
Host-1328731,eol;esxi6.5incompat;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,24,255.89,56,demo.google.com,Cluster-c473761
Host-1328766,eol;esxi6.5incompat;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,24,255.89,54,demo.google.com,Cluster-c473761
Host-1428147,eol;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,16,383.97,52,demo.google.com,Cluster-c473761
Host-2959005,eol;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,16,383.98,52,demo.google.com,Cluster-c473761
Host-3005033,eol;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,16,143.97,50,demo.google.com,Cluster-c473761
Host-3123728,eol;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,16,287.97,44,demo.google.com,Cluster-c473761
Host-3166049,eol;sg-toGCP,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,16,191.98,42,demo.google.com,Cluster-c473761
Host-3299273,eol;esxi6.5incompat,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,44,287.89,53,demo.google.com,Cluster-c473761
Host-3299343,eol;esxi6.5incompat,Normal,5.5.0 build-7967571,VMware vSphere Enterprise Plus,"5.0",Unlimited,2,2,44,287.89,48,demo.google.com,Cluster-c473761
