On-Prem IT Cloud Simulator for Google Demo Customer
,
Applied Filters
None
,
Card Settings
Physical Host System Cost,"$8,000"
Hardware/ Software Depreciation Term,5 years
Shared Storage Cost/ GB,$6.00
Average Host RAM Cost/ GB,$24.00
vSphere Support,Production
Hypervisor/ELA Discount,15%
Annual License Cost/ VM,$350
Annual License Cost/ Host,"$12,000"
Environmental Costs Excluded,No
Average Watts/ Host,"430"
Cost/ kWh Electricity,$0.105
Cooling to Power Ratio,"1.8"
,
Rightsizing Criteria
If the configuration was at,Peak vCPU and Peak vRAM Usage
Do not resize below CPU and Memory reservations,No
,
Table Data
VM Name,Tags,VM State,Guest OS,VM Cost / Year ($),Compute Cost Portion ($),Storage Cost Portion ($),Adjusted Consumed VM Cost / Year ($),Adjusted Consumed Compute Cost Portion ($),Adjusted Consumed Storage Cost Portion ($),vCPU,vCPU Peak Usage (%),vCPU 99th %-ile Usage (%),vCPU 95th %-ile Usage (%),vRAM (GB),vRAM Peak Usage (%),Peak IOPS,Peak Reads,Peak Writes,Peak Latency (ms),vDisk Capacity (GB),vCenter Name,Cluster Name
VM-40218,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),1446,737,709,,,709,4,,,,8.00,,,,,,210.00,demo.google.com,Cluster-c473761
VM-3296304,PoweredOn;PowerOn/Win2008R2;windows_power_on,Powered On,Microsoft Windows Server 2008 R2 (64-bit),1246,739,507,1246,739,507,2,100,69,47,16.00,100,1709,1536,1311,1235,150.00,demo.google.com,Cluster-c473761
VM-123072,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2106,755,1351,,,1351,4,,,,16.00,,,,,,400.00,demo.google.com,Cluster-c473761
VM-404209,PoweredOn,Powered Off,Red Hat Enterprise Linux 6 (64-bit),881,712,169,,,169,2,,,,4.00,,,,,,50.00,demo.google.com,Cluster-c473761
VM-2164273,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),1388,712,676,,,676,2,,,,4.00,,,,,,200.00,demo.google.com,Cluster-c344303
VM-913604,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1075,737,338,,,338,4,,,,8.00,,,,,,100.00,demo.google.com,Cluster-c473761
VM-62889,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1413,737,676,,,676,4,,,,8.00,,,,,,200.00,demo.google.com,Cluster-c473761
VM-1791440,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),939,770,169,,,169,8,,,,8.00,,,,,,50.00,demo.google.com,Cluster-c344303
VM-2859238,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),3705,766,2939,,,2939,2,,,,28.00,,,,,,870.00,demo.google.com,Cluster-c344303
VM-444328,PoweredOn,Powered On,Other 2.6.x Linux (64-bit),1972,712,1260,1972,712,1260,2,71,32,9,4.00,97,449,413,73,12131,373.00,demo.google.com,Cluster-c473761
VM-3296854,PoweredOn,Powered On,Linux 4.7.4Zerto+ Debian GNU/Linux 8.5 (jessie),1966,701,1265,1966,701,1265,1,100,38,5,3.00,99,1996,1533,560,1175,374.52,demo.google.com,Cluster-c473761
VM-1912506_replica,PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),2444,721,1723,,,1723,2,,,,8.00,,,,,,510.00,demo.google.com,Cluster-c472963
VM-1229113,Hadoop;PoweredOn,Powered Off,Microsoft Windows Server 2008 R2 (64-bit),1416,737,679,,,679,4,,,,8.00,,,,,,201.00,demo.google.com,Cluster-c473761
VM-1726022,PoweredOn,Powered Off,Microsoft Windows Server 2012 (64-bit),871,770,101,,,101,8,,,,8.00,,,,,,30.00,demo.google.com,Cluster-c344303
